Team Code,Coach First,Coach Last,Coach Slot,Person Key,Status
05BMicro01,Nadia,Juno,1,nadia juno,Assigned
05BMicro01,Otis,Juno,2,otis juno,Assigned
05BMicro02,Jules,Lockhart,1,jules lockhart,Assigned
05BMicro02,Blake,Norwood,2,blake norwood,Assigned
05BMicro03,Teagan,Crane,1,teagan crane,Assigned
05BMicro03,Otis,Dray,2,otis dray,Assigned
05BMicro04,Kendall,Bern,1,kendall bern,Assigned
05BMicro05,Teagan,Xanders,1,teagan xanders,Assigned
05BMicro05,Avery,Ives,2,avery ives,Assigned
05BMicro06,Nadia,Lyle,1,nadia lyle,Assigned
05BMicro07,Emerson,Tolliver,1,emerson tolliver,Assigned
05BMicro08,Celia,Pike,1,celia pike,Assigned
05GMicro01,Luca,Osgood,1,luca osgood,Assigned
05GMicro02,Ula,Moss,1,ula moss,Assigned
05GMicro02,Gray,Kemp,2,gray kemp,Assigned
05GMicro03,Hana,Hobbes,1,hana hobbes,Assigned
05GMicro03,Micah,Cove,2,micah cove,Assigned
05GMicro04,Blake,Ingram,1,blake ingram,Assigned
05GMicro05,Xeno,Tave,1,xeno tave,Assigned
05GMicro06,Vesper,Dellucci,1,vesper dellucci,Assigned
05GMicro06,Ivo,Zeller,2,ivo zeller,Assigned
06BMicro01,Reagan,Holloway,1,reagan holloway,Assigned
06BMicro01,Rui,Vale,2,rui vale,Assigned
06BMicro02,Fabio,Abbot,1,fabio abbot,Assigned
06BMicro02,Edda,York,2,edda york,Assigned
06BMicro03,Oakley,Ulmer,1,oakley ulmer,Assigned
06BMicro04,Greta,Wynn,1,greta wynn,Assigned
06BMicro04,Mara,Calder,2,mara calder,Assigned
06BMicro05,Hugo,Nix,1,hugo nix,Assigned
06BMicro06,Brit,Juno,1,brit juno,Assigned
06BMicro06,Katya,Ehrlich,2,katya ehrlich,Assigned
06BMicro07,Charlie,Norwood,1,charlie norwood,Assigned
06BMicro08,Mara,Marsh,1,mara marsh,Assigned
06BMicro09,Ula,Jute,1,ula jute,Assigned
06BMicro09,Otis,Ellison,2,otis ellison,Assigned
06BMicro10,Lane,Voss,1,lane voss,Assigned
06BMicro10,Casey,Usher,2,casey usher,Assigned
06BMicro11,Hana,Dunmore,1,hana dunmore,Assigned
06BMicro12,Celia,Gale,1,celia gale,Assigned
06BMicro12,Otis,Ward,2,otis ward,Assigned
06GMicro01,Rafa,Sorrel,1,rafa sorrel,Assigned
06GMicro02,Dov,Tave,1,dov tave,Assigned
06GMicro02,Avery,Eastman,2,avery eastman,Assigned
06GMicro03,Harper,Zamora,1,harper zamora,Assigned
06GMicro04,Gray,Vance,1,gray vance,Assigned
06GMicro05,Nadia,Grieve,1,nadia grieve,Assigned
06GMicro05,Shay,Cove,2,shay cove,Assigned
06GMicro06,Uri,Bexley,1,uri bexley,Assigned
06GMicro06,Lior,Cove,2,lior cove,Assigned
06GMicro07,Casey,Voss,1,casey voss,Assigned
06GMicro07,Teagan,Lund,2,teagan lund,Assigned
06GMicro08,Riley,Dunmore,1,riley dunmore,Assigned
07BJunior01,Quinn,Ellison,1,quinn ellison,Assigned
07BJunior01,Remy,Reed,2,remy reed,Assigned
07BJunior02,Winter,Corwin,1,winter corwin,Assigned
07BJunior02,Morgan,Pike,2,morgan pike,Assigned
07BJunior03,Elliot,Jute,1,elliot jute,Assigned
07BJunior03,Val,Jute,2,val jute,Assigned
07BJunior04,Winter,Dole,1,winter dole,Assigned
07BJunior04,Anders,Xanders,2,anders xanders,Assigned
07BJunior05,Vera,Marsh,1,vera marsh,Assigned
07BJunior06,Ivo,Hobbes,1,ivo hobbes,Assigned
07BJunior06,Remy,Marsh,2,remy marsh,Assigned
07BJunior07,Peyton,Mercer,1,peyton mercer,Assigned
07BJunior07,Harper,Sloane,2,harper sloane,Assigned
07BJunior08,Anders,Juno,1,anders juno,Assigned
07BJunior09,Nadia,Sutton,1,nadia sutton,Assigned
07BJunior09,Otis,Nash,2,otis nash,Assigned
07BJunior10,Brit,Landry,1,brit landry,Assigned
07BJunior10,Hana,Abbot,2,hana abbot,Assigned
07BJunior11,Nadia,Xanders,1,nadia xanders,Assigned
07BJunior11,Val,Usher,2,val usher,Assigned
07BJunior12,Remy,Vance,1,remy vance,Assigned
07BJunior12,Elena,Eastman,2,elena eastman,Assigned
07BJunior13,Kian,Dellucci,1,kian dellucci,Assigned
07BJunior13,Zora,Thorne,2,zora thorne,Assigned
07BJunior14,Hayden,Radley,1,hayden radley,Assigned
07GJunior01,Clio,Usher,1,clio usher,Assigned
07GJunior01,Micah,Dunmore,2,micah dunmore,Assigned
07GJunior02,Rui,Ehrlich,1,rui ehrlich,Assigned
07GJunior02,Shay,Moss,2,shay moss,Assigned
07GJunior03,Skyler,Ward,1,skyler ward,Assigned
07GJunior03,Toby,Eastman,2,toby eastman,Assigned
07GJunior04,Mara,Prentiss,1,mara prentiss,Assigned
07GJunior05,Phoenix,Jarvis,1,phoenix jarvis,Assigned
07GJunior05,Rafa,Voss,2,rafa voss,Assigned
07GJunior06,Riley,Sloane,1,riley sloane,Assigned
07GJunior06,Sofia,Kessler,2,sofia kessler,Assigned
