coach_name,person_key,player_1_key,player_1_ref_class,player_1_gender,player_1_birth_year,player_1_playing_up,preferred_co_coach_1_key,preferred_co_coach_1_class,player_2_key,player_2_ref_class,player_2_gender,player_2_birth_year,player_2_playing_up,preferred_co_coach_2_key,preferred_co_coach_2_class
Toby Hart,toby hart,mira hestevale,named,male,2016,,riley pike,named,verity wynleck,named,female,2018,,remy nash,named
Perry Yeats,perry yeats,zeda wynmefield,named,male,2013,,gray judd,named,,none,,,,,none
Remy Nash,remy nash,zoran norrevale,named,female,2018,,toby hart,named,,declined,female,,,,declined
Riley Pike,riley pike,zoran kelboby,named,female,2014,,,narrative,wrenna alfeham,named,male,2016,,toby hart,named
Quinn Vance,quinn vance,ilse torreley,named,male,2016,yes,yusuf marsh,named,,none,,,,,none
Rui Vale,rui vale,signy hesperidge,named-in-prose,female,2018,yes,,none,odis irhemont,named,male,2020,yes,,none
Reagan Holloway,reagan holloway,signy hesperidge,named-in-prose,female,2018,,,none,odis irhemont,named,male,2020,,,none
Morgan Eastman,morgan eastman,morgan eastman,named,male,2016,,wanda eastman,named-in-prose,ulric istzastone,named,female,2017,,ines hale,named-in-prose
Rui Ehrlich,rui ehrlich,joss brekack,named,female,2020,,shay moss,named,,none,,,,,none
Anders Xanders,anders xanders,imre bramzamont,named,male,2019,,winter dole,named,,declined,,,,,none
Riley Dunmore,riley dunmore,ilse norbostone,named,male,2018,,zane quimby,named,,none,,,,,none
Zane Quimby,zane quimby,ulf zelbavale,named-in-prose,male,2018,,riley dunmore,named,,declined,,,,,none
Jonas Hale,jonas hale,vero kelmeford,named,male,2017,,,none,,none,,,,,none
Finley Ives,finley ives,gilda ashhefield,named,female,2017,yes,ines hale,named,,none,,,,,none
Uri Sloane,uri sloane,linnea gilkaley,named,female,2017,,wanda prentiss,named-in-prose,,none,,,,,none
Vera Marsh,vera marsh,jarl hesvestone,named,male,2019,,,narrative,,none,,,,,none
Wanda Eastman,wanda eastman,kerrin garcocombe,named,male,2016,,morgan eastman,named,,none,,,,,none
