player_name,player_key,gender,birth_year,age_group,age_group_code,program,playing_up
Zephyr Pengacombe,zephyr pengacombe,m,2021,6,U06B,Micro,
Cato Fendocombe,cato fendocombe,m,2020,7,U07B,Junior,
Ivo Brereridge,ivo brereridge,m,2016,11,U12B,,
Hollin Jesbawick,hollin jesbawick,f,2021,6,U06G,Micro,
Edda Zeldomont,edda zeldomont,m,2014,12,U12B,,
Juno Quilboley,juno quilboley,m,2022,4,,Minis,
Zephyr Clypecombe,zephyr clypecombe,m,2021,6,U06B,Micro,
Yarrow Ovweden,yarrow ovweden,m,2020,7,U07B,Junior,
Garrick Ovvethorn,garrick ovvethorn,m,2018,9,U09B,,
Wrenna Ovheden,wrenna ovheden,m,2018,9,U09B,,
Thora Yarveby,thora yarveby,m,2020,6,U06B,Micro,
Imre Hesgaley,imre hesgaley,f,2016,10,U10G,,
Vero Quilmevale,vero quilmevale,m,2020,7,U07B,Junior,
Imre Hesgaley,imre hesgaley,f,2019,8,U08G,Junior,
Joss Torheridge,joss torheridge,f,2021,5,U05G,Micro,
Cato Quilseck,cato quilseck,f,2022,4,,Minis,
Greer Ulhecombe,greer ulhecombe,m,2020,7,U07B,Junior,
Mira Ashcestone,mira ashcestone,m,2020,7,U07B,Junior,
Orin Pentedge,orin pentedge,f,2017,10,U10G,,
Gilda Alreford,gilda alreford,f,2019,8,U08G,Junior,
Hale Isthethorn,hale isthethorn,m,2020,7,U07B,Junior,
Xara Dorveby,xara dorveby,m,2022,5,U05B,Micro,
Dara Corhewick,dara corhewick,m,2021,5,U05B,Micro,
Bram Normeworth,bram normeworth,m,2021,5,U05B,Micro,
Sorrel Ashleridge,sorrel ashleridge,m,2015,12,U12B,,
Odis Dordaton,odis dordaton,f,2020,7,U07G,Junior,
Perrin Corkaridge,perrin corkaridge,m,2016,11,U12B,,
Hollin Dorwedge,hollin dorwedge,f,2019,8,U08G,Junior,
Cato Marmeridge,cato marmeridge,m,2017,9,U09B,,
Cato Fenfemere,cato fenfemere,f,2021,6,U06G,Micro,
Lark Garceham,lark garceham,m,2021,6,U06B,Micro,
Mira Hestevale,mira hestevale,m,2016,11,U12B,,
Greer Clybadge,greer clybadge,m,2015,12,U12B,,
Kerrin Garcocombe,kerrin garcocombe,m,2016,10,U10B,,
Nils Quilzamere,nils quilzamere,f,2018,8,U08G,Junior,
Vesper Ashgaley,vesper ashgaley,m,2021,5,U05B,Micro,yes
Dara Istveham,dara istveham,f,2019,8,U08G,Junior,
Hale Yarback,hale yarback,f,2019,8,U08G,Junior,
Thora Rantethorn,thora rantethorn,m,2019,7,U07B,Junior,
Zephyr Kelgaden,zephyr kelgaden,m,2016,10,U10B,,
Wrenna Ulpeford,wrenna ulpeford,m,2022,5,U05B,Micro,
Edda Corpeham,edda corpeham,f,2016,11,U12G,,
Ilse Torreley,ilse torreley,m,2016,10,U10B,,yes
Pell Quilzathorn,pell quilzathorn,m,2013,13,U14B,Select,
Corin Fenmeham,corin fenmeham,f,2016,11,U12G,,
Verity Wynleck,verity wynleck,f,2018,9,U09G,,yes
Kerrin Ashwevale,kerrin ashwevale,m,2014,12,U12B,,
Garrick Quiltedge,garrick quiltedge,m,2022,5,U05B,Micro,
Rennick Norfevale,rennick norfevale,f,2017,10,U10G,,
Verity Selgacombe,verity selgacombe,m,2020,7,U07B,Junior,
Tamsin Kelbodge,tamsin kelbodge,f,2021,6,U06G,Micro,
Rennick Jormethorn,rennick jormethorn,m,2017,10,U10B,,
Cato Jordadge,cato jordadge,f,2020,7,U07G,Junior,
Juno Ulteham,juno ulteham,m,2016,11,U12B,,
Hale Istdawell,hale istdawell,f,2021,6,U06G,Micro,
Bryn Selmeck,bryn selmeck,m,2019,7,U07B,Junior,
Bryn Ulleridge,bryn ulleridge,m,2018,9,U09B,,
Ysolt Zeldack,ysolt zeldack,m,2019,8,U08B,Junior,
Juno Kelsestone,juno kelsestone,f,2016,10,U10G,,
Perrin Dorseby,perrin dorseby,f,2012,15,U16G,Select,
Mabon Fencovale,mabon fencovale,f,2019,8,U08G,Junior,
Xara Kelgaby,xara kelgaby,m,2017,10,U10B,,
Thora Norlefield,thora norlefield,f,2020,7,U07G,Junior,
Wrenna Algack,wrenna algack,m,2019,8,U08B,Junior,
Ulf Clymewell,ulf clymewell,f,2019,8,U08G,Junior,
Clove Corfedge,clove corfedge,m,2017,10,U10B,,
Yarrow Ulmeck,yarrow ulmeck,m,2020,6,U06B,Micro,
Signy Clygaham,signy clygaham,f,2017,10,U10G,,
Jarl Ashfeden,jarl ashfeden,f,2019,8,U08G,Junior,
Marek Garheham,marek garheham,m,2020,7,U07B,Junior,
Corin Hesnegrove,corin hesnegrove,m,2019,8,U08B,Junior,
Emrys Corsedge,emrys corsedge,m,2019,8,U08B,Junior,
Corin Falferidge,corin falferidge,m,2017,10,U10B,,
Yorick Linbodge,yorick linbodge,m,2022,4,,Minis,
Ivo Ovgadge,ivo ovgadge,f,2022,5,U05G,Micro,
Imre Wynteham,imre wynteham,m,2022,5,U05B,Micro,
Zoran Norrevale,zoran norrevale,f,2018,9,U09G,,
Prue Dorheley,prue dorheley,m,2015,12,U12B,,
Zoran Verzafield,zoran verzafield,f,2017,10,U10G,,
Thora Normeck,thora normeck,m,2017,9,U09B,,
Nils Zelkaworth,nils zelkaworth,m,2018,9,U09B,,
Tamsin Fendaham,tamsin fendaham,m,2021,6,U06B,Micro,
Zeda Ullegrove,zeda ullegrove,m,2021,6,U06B,Micro,
Ulf Jesregrove,ulf jesregrove,m,2017,9,U09B,,
Marek Wyndofield,marek wyndofield,m,2015,12,U12B,,
Garrick Clymestone,garrick clymestone,m,2022,4,,Minis,
Signy Gilseton,signy gilseton,m,2020,6,U06B,Micro,
Odis Ovdothorn,odis ovdothorn,f,2019,7,U07G,Junior,
Zoran Linbostone,zoran linbostone,m,2019,7,U07B,Junior,yes
Bram Haldagrove,bram haldagrove,m,2022,4,,Minis,
Wrenna Alfeham,wrenna alfeham,m,2016,11,U12B,,
Sorrel Clyweton,sorrel clyweton,m,2014,13,U14B,Select,
Bryn Breseby,bryn breseby,m,2018,9,U09B,,
Zoran Kelboby,zoran kelboby,f,2014,13,U14G,Select,
Mabon Nordaton,mabon nordaton,m,2021,6,U06B,Micro,
Pell Bramnewick,pell bramnewick,m,2022,5,U05B,Micro,
Jarl Zelferidge,jarl zelferidge,f,2021,6,U06G,Micro,
Tamsin Elbagrove,tamsin elbagrove,m,2021,6,U06B,Micro,
Fable Penmeby,fable penmeby,f,2018,8,U08G,Junior,
Xara Jorbamere,xara jorbamere,m,2016,11,U12B,,
Xara Hesheley,xara hesheley,m,2019,8,U08B,Junior,
Kerrin Falweden,kerrin falweden,m,2019,7,U07B,Junior,
Juno Ashceworth,juno ashceworth,f,2020,6,U06G,Micro,
Ivo Kellemere,ivo kellemere,m,2016,11,U12B,,
Lisbet Vermewell,lisbet vermewell,m,2016,11,U12B,,
Kerrin Clybogrove,kerrin clybogrove,f,2020,7,U07G,Junior,
Marek Dorneley,marek dorneley,m,2020,6,U06B,Micro,
Gilda Jorkathorn,gilda jorkathorn,f,2018,9,U09G,,
Linnea Jesledge,linnea jesledge,m,2019,8,U08B,Junior,
Bram Penkawell,bram penkawell,m,2020,6,U06B,Micro,
Ilse Verneck,ilse verneck,m,2020,7,U07B,Junior,
Fenn Jorzaridge,fenn jorzaridge,f,2017,10,U10G,,
Marek Jorwecombe,marek jorwecombe,m,2021,6,U06B,Micro,
Torv Pengaton,torv pengaton,f,2020,7,U07G,Junior,
Mira Clyceden,mira clyceden,m,2022,5,U05B,Micro,
Linnea Clyboridge,linnea clyboridge,m,2015,12,U12B,,
Orin Corpeford,orin corpeford,f,2017,9,U09G,,
Rennick Elcemont,rennick elcemont,m,2020,6,U06B,Micro,
Imre Penremont,imre penremont,m,2020,7,U07B,Junior,
Mabon Ovgathorn,mabon ovgathorn,m,2020,7,U07B,Junior,
Lark Jesbathorn,lark jesbathorn,m,2015,12,U12B,,
Zephyr Elremere,zephyr elremere,m,2015,12,U12B,,
Sable Yarfefield,sable yarfefield,m,2018,9,U09B,,
Pell Elgaley,pell elgaley,f,2018,9,U09G,,
Emrys Alleby,emrys alleby,m,2021,6,U06B,Micro,
Prue Norwestone,prue norwestone,f,2018,8,U08G,Junior,
Ilse Clynecombe,ilse clynecombe,m,2018,9,U09B,,
Pell Clyneridge,pell clyneridge,m,2018,9,U09B,,
Nessa Penback,nessa penback,m,2017,9,U09B,,
Ivo Halhemont,ivo halhemont,f,2022,5,U05G,Micro,
Ulric Ranweham,ulric ranweham,f,2016,11,U12G,,
Joss Brekack,joss brekack,f,2020,7,U07G,Junior,
Wrenna Irdock,wrenna irdock,f,2020,7,U07G,Junior,
Nessa Evcoden,nessa evcoden,m,2019,8,U08B,Junior,
Alder Eltecombe,alder eltecombe,m,2022,5,U05B,Micro,
Sable Hesgathorn,sable hesgathorn,f,2019,7,U07G,Junior,
Zephyr Bramhemont,zephyr bramhemont,m,2019,7,U07B,Junior,
Ulf Bramveley,ulf bramveley,m,2022,5,U05B,Micro,
Yorick Ulbaden,yorick ulbaden,m,2019,8,U08B,Junior,
Joss Quilleham,joss quilleham,m,2017,9,U09B,,
Signy Hesperidge,signy hesperidge,f,2018,9,U09G,,
Corin Markaton,corin markaton,m,2023,4,,Minis,
Hollin Quilsemere,hollin quilsemere,m,2014,13,U14B,Select,
Torv Randofield,torv randofield,m,2019,7,U07B,Junior,
Odis Irhemont,odis irhemont,m,2020,6,U06B,Micro,
Zephyr Wyncegrove,zephyr wyncegrove,m,2016,11,U12B,,
Prue Halhegrove,prue halhegrove,m,2016,11,U12B,,
Ulric Istzastone,ulric istzastone,f,2017,10,U10G,,
Thora Yargamere,thora yargamere,m,2021,6,U06B,Micro,
Lark Vercowick,lark vercowick,m,2017,9,U09B,,
Nessa Haldaford,nessa haldaford,f,2020,6,U06G,Micro,
Sorrel Irteley,sorrel irteley,m,2021,5,U05B,Micro,
Yarrow Ulnemont,yarrow ulnemont,m,2021,5,U05B,Micro,
Torv Yarlevale,torv yarlevale,m,2021,6,U06B,Micro,
Garrick Evcecombe,garrick evcecombe,f,2021,6,U06G,Micro,
Orin Quilwecombe,orin quilwecombe,m,2021,6,U06B,Micro,
Imre Selkamont,imre selkamont,m,2018,9,U09B,,
Xara Jorpegrove,xara jorpegrove,f,2022,4,,Minis,
Zeda Linfedge,zeda linfedge,m,2014,12,U12B,,
Yarrow Jorbastone,yarrow jorbastone,m,2018,8,U08B,Junior,
Perrin Selmewell,perrin selmewell,m,2014,12,U12B,,
Wren Marpegrove,wren marpegrove,m,2015,12,U12B,,
Hollin Istseley,hollin istseley,f,2020,6,U06G,Micro,
Marek Norgafield,marek norgafield,m,2022,5,U05B,Micro,
Nerys Bredafield,nerys bredafield,m,2018,9,U09B,,
Odis Ovfegrove,odis ovfegrove,f,2021,6,U06G,Micro,
Wren Marrewick,wren marrewick,m,2023,4,,Minis,
Pell Falpeden,pell falpeden,f,2012,14,U14G,Select,
Mira Ulheley,mira ulheley,f,2017,9,U09G,,
Clove Quilcoridge,clove quilcoridge,m,2017,10,U10B,,
Hollin Wyngacombe,hollin wyngacombe,m,2015,11,U12B,,
Kestrel Keldamont,kestrel keldamont,m,2020,7,U07B,Junior,
Faron Clypeden,faron clypeden,f,2020,7,U07G,Junior,
Hesper Dorzaton,hesper dorzaton,f,2020,6,U06G,Micro,
Edda Zellemont,edda zellemont,f,2016,10,U10G,,yes
Torv Uldock,torv uldock,m,2014,13,U14B,Select,
Tamsin Ashzamere,tamsin ashzamere,m,2014,12,U12B,,
Torv Gilpethorn,torv gilpethorn,m,2021,6,U06B,Micro,
Emrys Elbodge,emrys elbodge,f,2020,7,U07G,Junior,
Kestrel Clyleford,kestrel clyleford,f,2020,7,U07G,Junior,
Fenn Jesgaton,fenn jesgaton,m,2013,14,U14B,Select,
