division,team_number,coach_slot,coach_name,person_key
U14B,1,1,Gray Judd,gray judd
U14B,1,2,Odis Garbomont,odis garbomont
U14B,2,1,Dov Judd,dov judd
U14B,2,2,Torv Kelheridge,torv kelheridge
U14B,3,1,Gray Whitaker,gray whitaker
U14B,4,1,Faris Garrick,faris garrick
U14B,4,2,Kendall Moss,kendall moss
U14B,5,1,Gilda Marteden,gilda marteden
U14G,1,1,Fabio Ehrlich,fabio ehrlich
U14G,1,2,Dov Hale,dov hale
U14G,2,1,Tomas Marsh,tomas marsh
U14G,3,1,Riley Pike,riley pike
U14G,3,2,Bailey Usher,bailey usher
U14G,3,3,Hollin Penteford,hollin penteford
U16B,1,1,Teagan Hobbes,teagan hobbes
U16B,2,1,Gray Whitaker,gray whitaker
U16G,1,1,Xeno Flint,xeno flint
U16G,2,1,Signy Kelweton,signy kelweton
U16G,2,2,Ari Calder,ari calder
U19B,1,1,Emerson Crane,emerson crane
U19B,1,2,Kova Ranreridge,kova ranreridge
U19G,1,1,Tamsin Ransewell,tamsin ransewell
